movieId,title,genres,actors,directors,posterPath,plotSummary,releaseDate,languages,runtime,popularity last year,average Rating
107982,Sand Sharks (2011),"Comedy,Horror,Science Fiction","Corin Nemec,Brooke Hogan,Vanessa Evigan,Eric Scott Woods,Gina Holden,Hilary Cruz,Edgar Allan Poe IV,Robert Pike Daniel,Delpaneaux Wills,Julie Berman,Andrea Pineda,Nicole Zeoli,Christina Corigliano,ViDonna Michaels,Alena Savostikova",Mark Atkins,/imJsOPjHewfjcy2j8F4VVNKV7rI.jpg,"Just when you thought it was safe to go back to the beach, it appears that our large fishy friends have found a way to chomp on you when you're chilling out on the sand too!",2011-12-20,English,87,2,1.26923
8907,Shark Tale (2004),"Animation,Action,Comedy,Family","Will Smith,Robert De Niro,Renée Zellweger,Jack Black,Angelina Jolie,Ziggy Marley,Martin Scorsese,David P. Smith,Doug E. Doug,Michael Imperioli,Vincent Pastore,Peter Falk,Katie Couric,Frank Vincent,Missy Elliott,Christina Aguilera,Phil LaMarr,Phil LaMarr","Bibo Bergeron,Vicky Jenson,Rob Letterman",/zSHqX4qklYrHMEcv2GiHG5UwVsz.jpg,"Oscar is a small fish whose big aspirations often get him into trouble. Meanwhile, Lenny is a great white shark with a surprising secret that no sea creature would guess: He's a vegetarian. When a lie turns Oscar into an improbable hero and Lenny becomes an outcast, the two form an unlikely friendship.",2004-09-20,English,90,352,2.78237
1387,Jaws (1975),"Horror,Thriller,Adventure","Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,Murray Hamilton,Carl Gottlieb,Jeffrey Kramer,Susan Backlinie,Jonathan Filley,Chris Rebello,Jay Mello,Lee Fierro,Jeffrey Voorhees,Craig Kingsbury,Robert Nevin,Ted Grossman,Peter Benchley,Dorothy Fielding,Steven Spielberg,Denise Cheshire,Fritzi Jane Courtney,David Engelbach,Belle McDonald,Joseph Oliveira,Beverly Powers,Ayn Ruymen,Christopher Sands,Rex Trailer,Philip Ettington",Steven Spielberg,/l1yltvzILaZcx2jYvc5sEMkM7Eh.jpg,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",1975-06-18,English,124,975,3.78536
145056,Ghost Shark (2013),"Horror,Science Fiction","Mackenzie Rosman,Shawn C. Phillips,Richard Moll,Jayme Bohn,Eliot Brasseaux,Amy Brassette,Sloane Coe,Robert Aberdeen",Griff Furst,/zyF1Q8m35FQQcZA64PMM5WSNDxN.jpg,"Last Fourth of July, teenager Christy Bruce disappeared from a high school beach party. Her severed arm washed ashore a day later. Drunken sea captain Blaise Shaw became a hero to the small seaside community of Harmony after killing the great white shark that was deemed responsible, but the Christy Bruce murder was no shark attack. Blaise turns to ghost hunter Ava Conte, who is skeptical but intrigued by his ghost shark ramblings. With preparations for a massive July 4th celebration rapidly approaching, they soon find themselves embroiled in a conspiracy of sex and murder involving the town's wealthiest and most powerful citizens. Unprepared to contend with a Ghost Shark that can hunt on land, sea, as well as anywhere there is enough water or rain to sustain its phantom form, Blaise and Ava must uncover the truth about the towns dark past or fall victim to the Ghost Shark",2013-08-22,English,84,3,1.35
